,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
8,1997-11-06 12:20:00,1997-11-07 08:30:00,14000,100,S18W63,8100,X9.4,11/06,12:10,,360,1556,True,,,,
514,2017-09-06 12:05:00,2017-09-07 08:00:00,16000,70,S08W33,12673,X9.3,09/06,12:24,,360,1571,True,,,,
328,2006-12-05 10:50:00,2006-12-05 20:00:00,14000,250,S07E68,10930,X9.0,,,,,,False,,,,
515,2017-09-10 16:02:00,2017-09-11 06:50:00,16000,150,S09W92,,X8.3,09/10,16:00,,360,3163,True,,,,
237,2003-11-02 17:30:00,2003-11-03 01:00:00,12000,250,S14W56,10486,X8.3,11/02,17:30,,360,2598,True,,,,
288,2005-01-20 07:15:00,2005-01-20 16:30:00,14000,25,N14W61,10720,X7.1,01/20,06:54,,360,882,True,,,,
359,2011-08-09 08:20:00,2011-08-09 08:35:00,16000,4000,N17W69,11263,X6.9,08/09,08:12,,360,1610,True,,,,
331,2006-12-06 19:00:00,2006-12-09 00:00:00,16000,30,S05E64,10930,X6.5,,,,,,False,,,,
317,2005-09-09 19:45:00,2005-09-09 22:00:00,10000,50,S12E67,10808,X6.2,09/09,19:48,,360,2257,True,,,,
82,2000-07-14 10:30:00,2000-07-15 14:30:00,14000,80,N22W07,9077,X5.7,07/14,10:54,,360,1674,True,,,,
121,2001-04-06 19:35:00,2001-04-07 01:50:00,14000,230,S21E31,9415,X5.6,04/06,19:30,,360,1270,True,,,,
375,2012-03-07 01:00:00,2012-03-08 19:00:00,16000,30,N17E27,11429,X5.4,03/07,00:24,,360,2684,True,,,,
135,2001-08-25 16:50:00,2001-08-25 23:00:00,8000,170,S17E34,9591,X5.3,08/25,16:50,,360,1433,True,,,,
443,2014-02-25 00:56:00,2014-02-25 11:28:00,14000,100,S12E82,11990,X4.9,02/25,01:25,,360,2147,True,,,,
193,2002-07-23 00:50:00,2002-07-23 04:00:00,11000,400,S13E72,10039,X4.8,07/23,00:42,,360,2285,True,,,,
104,2000-11-26 17:00:00,2000-11-26 17:15:00,14000,7000,N18W38,9236,X4.0,11/26,17:06,,360,980,True,,,,
239,2003-11-03 10:00:00,2003-11-03 12:30:00,6000,400,N08W77,10488,X3.9,11/03,10:06,293,103,1420,False,,,,
286,2005-01-17 10:00:00,2005-01-17 10:35:00,6100,1500,N15W25,10720,X3.8,01/17,09:54,,360,2547,True,,,,
222,2003-05-28 01:00:00,2003-05-29 00:30:00,1000,200,S07W20,10365,X3.6,05/28,00:50,,360,1366,True,,,,
332,2006-12-13 02:45:00,2006-12-13 10:40:00,12000,150,S06W23,10930,X3.4,12/13,02:54,,360,1774,True,,,,
160,2001-12-28 20:35:00,2001-12-29 03:00:00,14000,350,S26E90,9756,X3.4,12/28,20:30,,360,2216,True,,,,
192,2002-07-20 21:30:00,2002-07-20 22:20:00,10000,2000,S13E90,10039,X3.3,07/20,22:06,,360,1941,True,,,,
404,2013-05-14 01:16:00,2013-05-14 08:20:00,16000,240,N08E77,11748,X3.2,05/14,01:25,,360,2625,True,,,,
201,2002-08-24 01:45:00,2002-08-24 03:25:00,5000,400,S02W81,10069,X3.1,08/24,01:27,,360,1913,True,,,,
240,2003-11-04 20:00:00,2003-11-05 00:00:00,10000,200,S19W83,10486,X28.,11/04,19:54,,360,2657,True,,,,
117,2001-04-02 22:05:00,2001-04-03 02:30:00,14000,250,N19W72,9393,X20.,04/02,22:06,261,244,2505,False,,,,
403,2013-05-13 16:15:00,2013-05-13 19:10:00,16000,300,N11E85,11748,X2.8,05/13,16:07,,360,1850,True,,,,
19,1998-05-06 08:25:00,1998-05-06 08:35:00,14000,5000,S11W65,8210,X2.7,05/06,08:29,309,190,1099,False,,,,
238,2003-11-03 01:15:00,2003-11-03 01:25:00,3000,1500,N10W83,10488,X2.7,11/03,01:59,304,65,827,False,,,,
487,2015-05-05 22:24:00,2015-05-05 23:14:00,14000,500,N15E79,12339,X2.7,05/05,22:24,,360,715,True,,,,
142,2001-09-24 10:45:00,2001-09-25 20:00:00,7000,30,S16E23,9632,X2.6,09/24,10:30,,360,2402,True,,,,
9,1997-11-27 13:30:00,1997-11-27 14:00:00,14000,7000,N17E63,8113,X2.6,11/27,13:56,98,91,441,False,,,,
284,2005-01-15 23:00:00,2005-01-17 00:00:00,3000,40,N15W05,10720,X2.6,01/15,23:06,,360,2861,True,,,,
276,2004-11-10 02:25:00,2004-11-10 03:40:00,14000,1000,N09W49,10696,X2.5,11/10,02:26,,360,3387,True,,,,
73,2000-06-06 15:20:00,2000-06-08 09:00:00,14000,40,N20E18,9026,X2.3,06/06,15:54,,360,1119,True,,,,
123,2001-04-10 05:24:00,2001-04-11 00:00:00,14000,100,S23W09,9415,X2.3,04/10,05:30,,360,2411,True,,,,
99,2000-11-24 15:25:00,2000-11-24 22:00:00,14000,200,N22W07,9236,X2.3,11/24,15:30,,360,1245,True,,,,
345,2011-02-15 02:10:00,2011-02-15 07:00:00,16000,400,S20W12,11158,X2.2,02/15,02:24,,360,669,True,,,,
7,1997-11-04 06:00:00,1997-11-05 04:30:00,14000,100,S14W33,8100,X2.1,11/04,06:10,,360,785,True,,,,
420,2013-10-25 15:08:00,2013-10-25 22:32:00,16000,200,S06E69,11882,X2.1,10/25,15:12,,360,1081,True,,,,
318,2005-09-10 21:45:00,2005-09-11 01:00:00,14000,200,S13E47,10808,X2.1,09/10,21:52,,360,1893,True,,,,
361,2011-09-06 22:30:00,2011-09-07 15:40:00,16000,150,N14W18,11283,X2.1,09/06,23:05,,360,575,True,,,,
98,2000-11-24 05:10:00,2000-11-24 15:00:00,14000,100,N20W05,9236,X2.0,11/24,05:30,,360,1289,True,,,,
125,2001-04-12 10:20:00,2001-04-12 10:40:00,14000,7000,S19W43,9415,X2.0,04/12,10:31,,360,1184,True,,,,
285,2005-01-17 09:25:00,2005-01-17 16:00:00,14000,30,N15W25,10720,X2.0,01/17,09:30,,360,2094,True,,,,
274,2004-11-07 16:25:00,2004-11-08 20:00:00,14000,60,N09W17,10696,X2.0,11/07,16:54,,360,1759,True,,,,
233,2003-10-28 11:10:00,2003-10-30 00:00:00,14000,40,S16E08,10486,X17.,10/28,11:30,,360,2459,True,,,,
126,2001-04-15 14:05:00,2001-04-16 13:00:00,14000,40,S20W85,9415,X14.,04/15,14:06,245,167,1199,False,,,,
234,2003-10-29 20:55:00,2003-10-30 00:00:00,11000,500,S15W02,10486,X10.,10/29,20:54,,360,2029,True,,,,
102,2000-11-25 19:00:00,2000-11-25 19:35:00,6000,2000,N20W23,9236,X1.9,11/25,19:31,,360,671,True,,,,
189,2002-07-18 07:55:00,2002-07-18 08:45:00,14000,1500,N19W30,10030,X1.8,07/18,08:06,,360,1099,True,,,,
100,2000-11-24 22:24:00,2000-11-24 22:36:00,4000,3000,N21W14,9236,X1.8,11/24,22:06,,360,1005,True,,,,
49,1999-10-14 09:10:00,1999-10-14 10:00:00,14000,4000,N11E32,8731,X1.8,10/14,09:26,,360,1250,True,,,,
373,2012-01-27 18:30:00,2012-01-28 04:45:00,16000,150,N27W71,11402,X1.7,01/27,18:27,,360,2508,True,,,,
316,2005-09-07 18:05:00,2005-09-08 00:00:00,12000,200,S11E77,10808,X1.7,,,,,,False,,,,
115,2001-03-29 10:12:00,2001-03-30 06:00:00,4000,60,N20W19,9393,X1.7,03/29,10:26,,360,942,True,,,,
281,2005-01-01 00:45:00,2005-01-01 02:25:00,14000,450,N06E34,10715,X1.7,01/01,00:54,,360,832,True,,,,
402,2013-05-13 02:20:00,2013-05-13 03:00:00,16000,2000,N11E90,11748,X1.7,05/13,02:00,,360,1270,True,,,,
467,2014-09-10 17:45:00,2014-09-11 12:00:00,14000,100,N14E02,12158,X1.6,09/10,18:00,,360,1267,True,,,,
150,2001-10-19 16:45:00,2001-10-21 16:40:00,14000,30,N15W29,9661,X1.6,10/19,16:50,,360,901,True,,,,
149,2001-10-19 01:15:00,2001-10-19 02:25:00,14000,1300,N16W18,9661,X1.6,10/19,01:27,,360,558,True,,,,
333,2006-12-14 22:30:00,2006-12-14 23:40:00,14000,1500,S06W46,10930,X1.5,12/14,22:30,,360,1042,True,,,,
217,2003-03-18 12:25:00,2003-03-18 13:45:00,4500,500,S15W46,10314,X1.5,03/18,12:30,263,209,1601,False,,,,
320,2005-09-13 20:20:00,2005-09-15 06:00:00,1100,35,S09E10,10808,X1.5,09/13,20:00,,360,1866,True,,,,
457,2014-06-10 12:58:00,2014-06-10 15:00:00,16000,1000,S17E82,12087,X1.5,06/10,13:30,,360,1469,True,,,,
178,2002-04-21 01:30:00,2002-04-22 00:00:00,10000,60,S14W84,9906,X1.5,04/21,01:27,,360,2393,True,,,,
362,2011-09-22 11:05:00,2011-09-23 00:00:00,14000,70,N09E89,11302,X1.4,09/22,10:48,,360,1905,True,,,,
390,2012-07-12 16:45:00,2012-07-13 09:00:00,14000,250,S15W01,11520,X1.4,07/12,16:48,,360,885,True,,,,
152,2001-10-25 15:30:00,2001-10-27 23:00:00,14000,30,S16W21,9672,X1.3,10/25,15:26,,360,1092,True,,,,
221,2003-05-27 23:12:00,2003-05-27 23:45:00,14000,2000,S07W17,10365,X1.3,05/27,23:50,,360,964,True,,,,
226,2003-06-16 00:00:00,2003-06-16 03:00:00,14000,400,S07E80,10386,X1.3,06/15,23:54,,360,2053,True,,,,
306,2005-07-30 07:40:00,2005-07-30 20:00:00,9000,80,N12E60,10792,X1.3,07/30,06:50,,360,1968,True,,,,
287,2005-01-19 09:20:00,2005-01-20 00:00:00,5300,40,N15W51,10720,X1.3,01/19,08:29,,360,2020,True,,,,
118,2001-04-03 03:40:00,2001-04-03 07:25:00,14000,400,S21E83,9415,X1.2,04/03,03:26,108,292,1613,False,,,,
223,2003-05-29 01:10:00,2003-05-29 08:00:00,13000,200,S06W37,10365,X1.2,05/29,01:27,,360,1237,True,,,,
55,2000-02-05 19:34:00,2000-02-05 19:38:00,5800,2900,N26E52,8858,X1.2,02/05,19:54,60,76,632,False,,,,
232,2003-10-26 17:45:00,2003-10-26 19:40:00,14000,1500,N02W38,10484,X1.2,10/26,17:54,270,171,1537,False,,,,
14,1998-04-23 06:00:00,1998-04-23 15:30:00,14000,200,S17E90,8210,X1.2,04/23,05:55,,360,1691,True,,,,
231,2003-10-26 07:00:00,2003-10-26 09:15:00,8000,1500,S15E44,10486,X1.2,10/26,06:54,108,207,1371,False,,,,
300,2005-07-14 11:00:00,2005-07-14 12:54:00,3000,800,N11W90,10786,X1.2,07/14,10:54,,360,2115,True,,,,
405,2013-05-15 01:49:00,2013-05-15 07:57:00,16000,230,N12E64,11748,X1.2,05/15,01:48,,360,1366,True,,,,
439,2014-01-07 18:33:00,2014-01-08 21:00:00,14000,60,S15W11,11943,X1.2,01/07,18:24,,360,1830,True,,,,
116,2001-04-02 11:30:00,2001-04-02 12:00:00,14000,5000,N20W70,9393,X1.1,04/02,11:26,270,80,992,False,,,,
388,2012-07-06 23:10:00,2012-07-07 03:40:00,16000,300,S13W59,11515,X1.1,07/06,23:24,,360,1828,True,,,,
374,2012-03-05 04:00:00,2012-03-05 12:20:00,16000,400,N17E52,11429,X1.1,03/05,04:00,,360,1531,True,,,,
18,1998-05-02 14:25:00,1998-05-02 14:50:00,5000,3000,S15W15,8210,X1.1,05/02,14:06,,360,938,True,,,,
46,1999-08-28 18:25:00,1999-08-28 18:33:00,16000,12000,S26W14,8674,X1.1,08/28,18:26,120,245,462,False,,,,
16,1998-04-27 09:20:00,1998-04-27 10:00:00,10000,1000,S16E50,8210,X1.0,04/27,08:56,,360,1385,True,,,,
428,2013-11-19 10:39:00,2013-11-19 20:20:00,14000,100,S14W70,11893,X1.0,11/19,10:36,,360,740,True,,,,
153,2001-11-04 16:30:00,2001-11-06 11:00:00,14000,70,N06W18,9684,X1.0,11/04,16:35,,360,1810,True,,,,
80,2000-07-11 13:00:00,2000-07-11 13:30:00,12000,1000,N18E27,9077,X1.0,07/11,13:27,,360,1078,True,,,,
196,2002-08-03 19:20:00,2002-08-03 20:30:00,14000,2000,S16W76,10039,X1.0,08/03,19:31,259,138,1150,False,,,,
156,2001-11-22 22:40:00,2001-11-24 02:30:00,14000,40,S17W36,9704,M9.9,11/22,23:30,,360,1437,True,,,,
357,2011-08-04 04:15:00,2011-08-05 17:00:00,13000,60,N19W36,11261,M9.3,08/04,04:12,,360,1315,True,,,,
224,2003-05-31 03:00:00,2003-05-31 08:00:00,1000,150,S07W65,10365,M9.3,05/31,02:30,,360,1835,True,,,,
144,2001-10-01 07:00:00,2001-10-01 18:30:00,1000,150,S24W81,9628,M9.1,10/01,05:30,,360,1405,True,,,,
275,2004-11-09 17:35:00,2004-11-09 18:10:00,14000,5000,N08W51,10696,M8.9,11/09,17:26,,360,2000,True,,,,
194,2002-07-26 22:27:00,2002-07-26 23:30:00,14000,2000,S19E26,10039,M8.7,07/26,22:06,,360,818,True,,,,
372,2012-01-23 04:00:00,2012-01-24 15:00:00,16000,40,N28W21,11402,M8.7,01/23,04:00,,360,2175,True,,,,
478,2014-12-17 05:00:00,2014-12-17 05:09:00,14000,11500,S20E09,12242,M8.7,12/17,05:00,,360,587,True,,,,
283,2005-01-15 06:15:00,2005-01-15 09:30:00,14000,150,N16E04,10720,M8.6,01/15,06:30,,360,2049,True,,,,
188,2002-07-17 07:30:00,2002-07-17 07:45:00,3500,2000,N21W17,10030,M8.5,07/17,07:31,36,177,716,False,,,,
29,1998-11-05 22:00:00,1998-11-07 08:00:00,5000,50,N22W18,8375,M8.4,11/05,20:44,,360,1118,True,,,,
120,2001-04-05 09:14:00,2001-04-05 09:34:00,14000,7500,N14W85,9393,M8.4,04/05,09:06,283,205,1750,False,,,,
377,2012-03-10 17:55:00,2012-03-11 12:30:00,14000,30,N17W24,11429,M8.4,03/10,18:00,,360,1296,True,,,,
251,2004-01-07 10:35:00,2004-01-07 11:35:00,14000,1500,N06E75,10537,M8.3,01/07,10:30,81,182,1822,False,,,,
174,2002-04-10 12:59:00,2002-04-10 13:02:00,13000,12000,N15W14,9893,M8.2,04/10,13:27,340,159,650,False,,,,
481,2015-03-03 02:33:00,2015-03-03 02:37:00,8100,3600,W90b,12290,M8.2,03/03,01:48,329,213,764,False,,,,
101,2000-11-25 01:25:00,2000-11-25 02:25:00,14000,3000,N07E50,9240,M8.2,11/25,01:31,,360,2519,True,,,,
293,2005-05-13 17:00:00,2005-05-15 02:10:00,5000,40,N12E11,10759,M8.0,05/13,17:12,,360,1689,True,,,,
33,1998-12-18 17:50:00,1998-12-18 18:15:00,14000,5000,N19E64,8415,M8.0,12/18,18:09,,360,1749,True,,,,
494,2015-06-25 08:35:00,2015-06-25 16:30:00,14000,150,N09W42,12371,M7.9,06/25,08:36,,360,1627,True,,,,
378,2012-03-13 17:35:00,2012-03-14 00:00:00,16000,200,N17W66,11429,M7.9,03/13,17:36,,360,1884,True,,,,
122,2001-04-09 15:53:00,2001-04-10 01:00:00,12000,100,S21W04,9415,M7.9,04/09,15:54,,360,1192,True,,,,
392,2012-07-19 05:30:00,2012-07-19 06:20:00,5000,600,S13W88,11520,M7.7,07/19,05:24,,360,1631,True,,,,
107,2001-01-20 21:30:00,2001-01-21 00:00:00,14000,500,S07E46,9313,M7.7,01/20,21:30,,360,1507,True,,,,
20,1998-05-09 03:35:00,1998-05-09 10:00:00,9000,400,S14W89,8210,M7.7,05/09,03:35,262,178,2331,False,,,,
72,2000-06-02 22:00:00,2000-06-02 22:15:00,14000,8000,N16E60,9026,M7.6,06/02,21:30,69,104,547,False,,,,
364,2011-09-25 05:30:00,2011-09-25 06:00:00,16000,8000,N11E47,11302,M7.4,09/25,05:12,98,193,788,False,,,,
93,2000-11-08 23:20:00,2000-11-09 12:00:00,4000,200,N10W77,9213,M7.4,11/08,23:06,271,170,1738,False,,,,
452,2014-04-18 13:05:00,2014-04-18 22:50:00,14000,150,S20W34,12036,M7.3,04/18,13:25,,360,1203,True,,,,
472,2014-10-02 21:34:00,2014-10-02 21:56:00,3300,1900,S17W82,12173,M7.3,10/02,19:12,264,159,513,False,,,,
159,2001-12-26 05:20:00,2001-12-27 05:00:00,14000,150,N08W54,9742,M7.1,12/26,05:30,281,212,1446,False,,,,
363,2011-09-24 12:50:00,2011-09-24 22:45:00,16000,300,N10E56,11302,M7.1,09/24,12:48,,360,1915,True,,,,
248,2004-01-05 03:40:00,2004-01-05 03:50:00,9000,2500,S12E38,10536,M6.9,,,,,,False,,,,
479,2014-12-18 22:31:00,2014-12-18 22:54:00,5100,1300,S11E15,12241,M6.9,12/19,01:04,,360,1195,True,,,,
389,2012-07-08 16:35:00,2012-07-08 22:00:00,16000,300,S17W74,11515,M6.9,07/08,16:54,212,157,1495,False,,,,
67,2000-05-04 11:10:00,2000-05-04 13:00:00,6500,1000,S17W87,8970,M6.8,05/04,11:26,235,170,1404,False,,,,
17,1998-04-29 16:30:00,1998-04-29 17:00:00,10000,2000,S18E20,8210,M6.8,04/29,16:58,,360,1374,True,,,,
227,2003-06-17 22:50:00,2003-06-18 05:30:00,10000,200,S07E55,10386,M6.8,06/17,23:18,,360,1813,True,,,,
151,2001-10-22 15:15:00,2001-10-22 17:40:00,8000,1200,S21E18,9672,M6.7,10/22,15:06,,360,1336,True,,,,
111,2001-03-10 04:18:00,2001-03-10 04:32:00,14000,4000,N27W42,9368,M6.7,03/10,04:26,297,81,819,False,,,,
344,2011-02-13 17:50:00,2011-02-13 18:00:00,16000,8000,S20E04,11158,M6.6,02/13,18:36,359,276,373,False,,,,
61,2000-03-02 13:50:00,2000-03-02 14:03:00,14000,6000,S20W58,8882,M6.5,03/02,13:54,235,76,835,False,,,,
493,2015-06-22 18:20:00,2015-06-22 21:55:00,14000,300,N12W08,12371,M6.5,06/22,18:36,,360,1209,True,,,,
449,2014-04-02 13:42:00,2014-04-03 08:10:00,14000,60,N11E53,12027,M6.5,04/02,13:36,,360,1471,True,,,,
399,2013-04-11 07:10:00,2013-04-11 15:00:00,10000,200,N09E12,11719,M6.5,04/11,07:24,,360,861,True,,,,
376,2012-03-09 04:10:00,2012-03-09 06:05:00,14000,1000,N15W03,11429,M6.3,03/09,04:26,,360,950,True,,,,
132,2001-06-15 10:50:00,2001-06-15 11:15:00,7000,3000,S26E41,9502,M6.3,06/15,10:31,185,119,1090,False,,,,
330,2006-12-06 08:30:00,2006-12-06 09:45:00,4000,600,S04E63,10930,M6.0,,,,,,False,,,,
87,2000-09-16 04:30:00,2000-09-16 10:30:00,14000,400,N14W07,9165,M5.9,09/16,05:18,,360,1215,True,,,,
483,2015-03-10 00:10:00,2015-03-10 00:27:00,14000,6200,S18E45,12297,M5.8,03/10,00:00,,360,995,True,,,,
249,2004-01-06 06:40:00,2004-01-06 07:23:00,14000,2000,N05E90,10537,M5.8,01/06,08:53,88,166,1469,False,,,,
79,2000-07-10 22:00:00,2000-07-10 23:30:00,14000,1000,N18E49,9077,M5.7,07/10,21:50,67,289,1352,False,,,,
309,2005-08-22 17:15:00,2005-08-23 13:00:00,12000,40,S13W65,10798,M5.6,08/22,17:30,,360,2378,True,,,,
513,2017-09-04 20:27:00,2017-09-05 04:54:00,14000,210,S10W12,12673,M5.5,09/04,20:12,,360,1418,True,,,,
200,2002-08-22 02:50:00,2002-08-22 04:13:00,14000,3500,S07W62,,M5.4,08/22,02:06,,360,998,True,,,,
360,2011-09-06 02:00:00,2011-09-06 23:40:00,14000,200,N14W07,11283,M5.3,09/06,02:24,,360,782,True,,,,
74,2000-06-10 17:15:00,2000-06-10 18:45:00,10000,1000,N22W38,9026,M5.2,06/10,17:08,,360,1108,True,,,,
199,2002-08-16 12:20:00,2002-08-17 21:00:00,14000,60,S14E20,10069,M5.2,08/16,12:30,,360,1585,True,,,,
88,2000-09-19 08:45:00,2000-09-19 10:20:00,12000,1500,N14W46,9165,M5.1,09/19,08:50,283,76,766,False,,,,
385,2012-05-17 01:40:00,2012-05-17 06:20:00,16000,300,N11W76,11476,M5.1,05/17,01:48,,360,1582,True,,,,
424,2013-10-28 04:41:00,2013-10-28 11:51:00,14000,200,N08W71,11875,M5.1,10/28,04:48,315,156,1201,False,,,,
271,2004-11-03 15:55:00,2004-11-03 16:30:00,14000,3400,N09E38,10696,M5.0,11/03,16:06,,360,1068,True,,,,
299,2005-07-13 14:15:00,2005-07-13 15:05:00,14000,1000,N11W90,10786,M5.0,07/13,14:30,,360,1423,True,,,,
406,2013-05-22 13:10:00,2013-05-24 06:00:00,16000,150,N15W70,11745,M5.0,05/22,13:25,,360,1466,True,,,,
168,2002-03-12 00:00:00,2002-03-12 02:20:00,14000,2200,S15E45,,M5.0,03/11,23:30,,360,950,True,,,,
297,2005-07-07 16:30:00,2005-07-07 16:40:00,4000,2000,N09E03,10786,M4.9,07/07,17:06,,360,683,True,,,,
266,2004-09-12 00:45:00,2004-09-13 21:00:00,14000,40,N03E49,10672,M4.8,09/12,00:36,,360,1328,True,,,,
502,2015-12-23 01:18:00,2015-12-23 01:23:00,12000,6700,S22E63,12473,M4.7,12/23,01:25,98,89,520,False,,,,
209,2002-11-09 13:20:00,2002-11-10 03:00:00,14000,100,S12W29,10180,M4.6,11/09,13:31,,360,1838,True,,,,
246,2003-11-18 10:15:00,2003-11-18 11:30:00,5000,2000,S16E90,10508,M4.5,11/18,09:50,95,197,1824,False,,,,
466,2014-09-09 00:05:00,2014-09-09 13:00:00,11000,100,N12E29,12158,M4.5,09/09,00:06,,360,920,True,,,,
250,2004-01-07 04:15:00,2004-01-07 06:15:00,14000,750,N02E82,10537,M4.5,01/07,04:06,78,171,1581,False,,,,
425,2013-10-28 15:24:00,2013-10-28 15:29:00,14000,9000,S06E28,11882,M4.4,10/28,15:36,,360,812,True,,,,
163,2002-01-14 06:25:00,2002-01-14 21:30:00,12000,100,S28W83,9772,M4.4,01/14,05:35,,360,1492,True,,,,
35,1999-05-03 05:50:00,1999-05-03 08:45:00,8000,200,N15E32,8525,M4.4,05/03,06:06,,360,1584,True,,,,
6,1997-11-03 10:30:00,1997-11-03 11:30:00,14000,5000,S16W21,8100,M4.2,11/03,11:11,233,122,352,False,,,,
269,2004-10-30 06:40:00,2004-10-30 07:40:00,4000,1000,N13W22,10691,M4.2,10/30,06:54,,360,422,True,,,,
280,2004-12-30 23:45:00,2004-12-31 04:20:00,5000,700,N04E46,10715,M4.2,12/30,22:30,,360,1035,True,,,,
244,2003-11-17 09:05:00,2003-11-17 09:20:00,4000,1500,S01E33,10501,M4.2,11/17,09:26,72,242,1061,False,,,,
419,2013-10-22 21:33:00,2013-10-22 22:08:00,14000,650,N04W01,11875,M4.2,10/22,21:48,,360,459,True,,,,
369,2011-12-25 18:45:00,2011-12-25 18:55:00,14000,7000,S22W26,11387,M4.0,12/25,18:48,247,125,366,False,,,,
296,2005-06-16 20:25:00,2005-06-16 21:40:00,9000,1000,N08W90,10775,M4.0,,,,,,False,,,,
166,2002-02-21 12:35:00,2002-02-21 12:50:00,4000,1500,N16W79,9825,M3.9,02/21,12:54,275,108,358,False,,,,
463,2014-08-25 20:43:00,2014-08-25 21:00:00,14000,7200,N07W43,12146,M3.9,08/25,20:48,273,177,711,False,,,,
53,2000-01-18 17:31:00,2000-01-18 22:00:00,14000,500,S19E11,8831,M3.9,01/18,17:54,,360,739,True,,,,
245,2003-11-18 00:00:00,2003-11-18 00:00:00,????,????,N00E18,10501,M3.9,11/18,08:50,,360,1660,True,,,,
500,2015-11-09 13:21:00,2015-11-09 13:27:00,14000,9000,S11E41,12449,M3.9,11/09,13:25,142,273,1041,False,,,,
38,1999-06-04 07:05:00,1999-06-05 01:00:00,14000,60,N17W69,8552,M3.9,06/04,07:26,289,150,2230,False,,,,
51,1999-11-16 03:27:00,1999-11-16 03:48:00,7000,4000,N17E38,8766,M3.8,11/16,03:06,81,98,636,False,,,,
155,2001-11-22 20:50:00,2001-11-22 22:23:00,8000,1000,S25W67,9698,M3.8,11/22,20:30,,360,1443,True,,,,
304,2005-07-27 05:20:00,2005-07-27 06:45:00,1000,450,N11E90,10792,M3.7,07/27,04:54,,360,1787,True,,,,
348,2011-03-07 20:00:00,2011-03-08 08:30:00,16000,200,N31W53,11164,M3.7,03/07,20:00,,360,2125,True,,,,
83,2000-07-22 11:45:00,2000-07-22 12:45:00,14000,2000,N14W56,9085,M3.7,07/22,11:54,259,229,1230,False,,,,
499,2015-11-04 14:07:00,2015-11-04 15:14:00,14000,440,N09W04,12443,M3.7,11/04,14:48,,360,578,True,,,,
228,2003-07-10 14:10:00,2003-07-10 16:10:00,4000,400,N13W90,10397,M3.6,,,,,,False,,,,
273,2004-11-06 01:50:00,2004-11-06 02:45:00,6000,700,N09E05,10696,M3.6,11/06,02:06,351,214,1111,False,,,,
346,2011-02-24 12:50:00,2011-02-24 15:10:00,1000,700,N15E87,11163,M3.5,02/24,07:48,70,158,1186,False,,,,
76,2000-06-17 03:00:00,2000-06-17 04:15:00,14000,1000,N22W72,9041,M3.5,06/17,03:28,298,133,857,False,,,,
358,2011-08-08 18:10:00,2011-08-08 20:10:00,6000,400,N16W61,11263,M3.5,08/08,18:12,305,237,1343,False,,,,
371,2012-01-19 15:00:00,2012-01-20 02:45:00,16000,100,N32E22,11402,M3.2,01/19,14:36,,360,1120,True,,,,
235,2003-11-01 22:55:00,2003-11-02 00:50:00,14000,2000,S12W60,10486,M3.2,11/01,23:06,254,93,899,False,,,,
65,2000-04-09 23:15:00,2000-04-09 23:45:00,4500,1000,S14W01,8948,M3.1,04/10,00:30,,360,409,True,,,,
458,2014-06-12 22:14:00,2014-06-12 22:35:00,14000,6000,S20W55,12085,M3.1,06/12,22:12,233,186,684,False,,,,
130,2001-05-12 23:52:00,2001-05-13 00:12:00,3000,1000,S17E00,9455,M3.0,05/13,02:21,190,132,527,False,,,,
136,2001-08-30 20:43:00,2001-08-30 20:47:00,12000,10000,N15E44,9601,M3.0,08/30,21:26,82,76,351,False,,,,
491,2015-06-18 17:42:00,2015-06-18 19:40:00,3700,500,N15E50,12371,M3.0,06/18,17:24,,360,1305,True,,,,
442,2014-02-20 08:05:00,2014-02-20 08:29:00,12000,7700,S15W73,11976,M3.0,02/20,08:00,,360,948,True,,,,
319,2005-09-11 13:10:00,2005-09-11 15:15:00,3000,350,S16E39,10808,M3.0,09/11,13:00,,360,1922,True,,,,
77,2000-06-23 14:40:00,2000-06-23 15:05:00,14000,2000,N26W72,9042,M3.0,06/23,14:54,282,198,847,False,,,,
407,2013-06-21 03:35:00,2013-06-21 05:15:00,14000,2000,S16E73,11777,M2.9,06/21,03:12,123,207,1900,False,,,,
203,2002-09-10 15:19:00,2002-09-10 16:00:00,14000,8500,S10E43,10105,M2.9,09/10,15:30,127,38,273,False,,,,
154,2001-11-17 05:35:00,2001-11-17 06:40:00,11000,1700,S13E42,9704,M2.8,11/17,05:30,,360,1379,True,,,,
298,2005-07-09 22:15:00,2005-07-09 23:00:00,14000,600,N12W28,10786,M2.8,07/09,22:30,,360,1540,True,,,,
213,2002-12-19 21:45:00,2002-12-19 22:30:00,14000,1500,N15W09,10229,M2.7,12/19,22:06,,360,1092,True,,,,
229,2003-08-19 11:15:00,2003-08-19 12:00:00,14000,1000,S10W57,10431,M2.7,08/19,10:30,262,111,468,False,,,,
310,2005-08-23 15:00:00,2005-08-23 19:30:00,13000,400,S14W90,10798,M2.7,08/23,14:54,,360,1929,True,,,,
177,2002-04-17 08:30:00,2002-04-19 04:00:00,5000,40,S14W34,9906,M2.6,04/17,08:26,,360,1240,True,,,,
447,2014-03-29 00:12:00,2014-03-29 00:48:00,14000,2200,N11W23,12017,M2.6,03/28,23:48,325,138,514,False,,,,
