,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
278,2004-12-08 20:05:00,2004-12-08 20:10:00,14000,8000,N08W03,10709,C2.5,12/08,20:26,,360,611,True,,,,
324,2006-08-26 20:40:00,2006-08-26 21:00:00,7000,2000,S10E08,10905,C2.5,08/26,20:57,164,208,786,False,,,,
216,2003-01-27 22:20:00,2003-01-27 22:26:00,11000,8000,S17W23,FILA,C2.4,01/27,22:23,205,267,1053,False,,,,
63,2000-03-27 06:56:00,2000-03-27 06:58:00,14000,10000,S00E90,8932,C2.3,03/27,07:31,129,90,487,False,,,,
127,2001-04-18 02:55:00,2001-04-18 14:00:00,1000,100,SW90b,,C2.2,04/18,02:30,,360,2465,True,,,,
397,2013-01-16 22:00:00,2013-01-17 01:30:00,1000,200,S33W64,11650,C2.2,01/16,19:00,211,250,648,False,,,,
461,2014-08-22 10:37:00,2014-08-22 11:18:00,14000,6000,N12E01,12146,C2.2,08/22,11:12,,360,600,True,,,,
47,1999-09-03 03:00:00,1999-09-03 04:10:00,2000,1000,S36W24,8679,C2.1,09/03,00:06,184,175,512,False,,,,
263,2004-07-29 13:20:00,2004-07-30 20:30:00,1000,50,N00W90,10652,C2.1,07/29,12:06,,360,1180,True,,,,
312,2005-08-31 11:40:00,2005-08-31 12:10:00,6000,800,N13W13,10803,C2.0,08/31,11:30,,360,825,True,,,,
321,2006-04-30 16:20:00,2006-05-02 01:00:00,1000,200,S09E08,10876,C1.8,04/30,09:54,,360,544,True,,,,
384,2012-04-15 02:30:00,2012-04-15 02:50:00,16000,4000,N10E90,11461,C1.7,04/15,02:24,79,173,1220,False,,,,
215,2003-01-20 19:10:00,2003-01-20 20:00:00,14000,6000,N34W26,FILA,C1.7,01/20,18:30,315,105,733,False,,,,
268,2004-10-24 03:12:00,2004-10-24 03:21:00,14000,8000,N11E19,10687,C1.7,10/24,03:54,26,109,417,False,,,,
259,2004-06-22 22:07:00,2004-06-22 22:30:00,10000,7000,S12W24,10635,C1.7,,,,,,False,,,,
108,2001-01-26 12:06:00,2001-01-26 14:20:00,14000,400,S23W57,9320,C1.6,01/26,12:06,276,176,928,False,,,,
459,2014-07-30 07:44:00,2014-07-30 08:00:00,6300,4500,N10E30,EP?,C1.5,07/30,07:00,13,254,700,False,,,,
4,1997-09-23 21:53:00,1997-09-23 22:16:00,6000,2000,S29E25,8088,C1.4,09/23,22:02,133,155,712,False,,,,
2,1997-05-12 05:15:00,1997-05-14 16:00:00,12000,80,N21W08,8038,C1.3,05/12,05:30,,360,464,True,,,,
507,2016-05-04 14:20:00,2016-05-04 14:34:00,14000,10500,N06W61,12535,C1.3,05/04,14:12,255,134,390,False,,,,
254,2004-04-08 13:30:00,2004-04-08 14:00:00,6000,3000,S19W08,10588,C1.3,04/08,13:31,198,92,959,False,,,,
414,2013-09-29 21:53:00,2013-09-30 21:00:00,14000,60,N17W29,EP,C1.3,09/29,22:12,,360,1179,True,,,,
367,2011-11-26 07:15:00,2011-11-28 00:00:00,10000,50,N17W49,11353,C1.2,11/26,07:12,,360,933,True,,,,
343,2011-01-27 12:20:00,2011-01-27 12:35:00,16000,8000,N12W87,11149,C1.2,01/27,12:36,255,43,349,False,,,,
415,2013-10-02 20:46:00,2013-10-02 21:10:00,10000,5200,N20W85,DIM,C1.2,10/02,20:36,309,263,619,False,,,,
11,1998-01-25 15:03:00,1998-01-25 15:18:00,14000,10000,N21E25,8141,C1.1,01/25,15:26,,360,693,True,,,,
60,2000-02-18 09:44:00,2000-02-18 09:54:00,2000,1200,NW90b,,C1.1,02/18,09:54,286,118,890,False,,,,
335,2007-05-19 13:02:00,2007-05-19 13:05:00,16000,13000,N07W06,10956,B9.5,05/19,13:24,260,106,958,False,,,,
10,1997-12-12 22:45:00,1997-12-12 23:20:00,14000,8000,N25W52,8116,B9.4,12/13,00:26,278,73,191,False,,,,
21,1998-05-11 21:40:00,1998-05-11 22:00:00,10000,1000,N32W90,8214,B6.6,05/11,21:55,208,301,830,False,,,,
22,1998-05-19 10:00:00,1998-05-19 11:30:00,14000,3000,N23W43,8222,B5.7,05/19,10:27,268,139,801,False,,,,
410,2013-08-06 02:01:00,2013-08-06 02:11:00,14000,11000,N27E25,EP,B4.5,08/06,02:12,48,207,441,False,,,,
338,2008-04-26 14:23:00,2008-04-26 14:39:00,7600,4900,N08E09,,B3.8,04/26,14:30,65,281,515,False,,,,
12,1998-03-29 03:40:00,1998-03-29 03:52:00,14000,7000,SW90,,,03/29,03:48,,360,1397,True,,,,
26,1998-06-20 19:39:00,1998-06-20 20:00:00,2600,1800,BACK,,,06/20,18:20,,360,964,True,,,,
30,1998-11-06 03:00:00,1998-11-06 05:30:00,5000,1000,BACK,,,11/06,02:18,159,160,405,False,,,,
31,1998-11-07 00:20:00,1998-11-07 00:50:00,14000,6000,BACK,,,11/07,01:54,296,19,381,False,,,,
34,1999-04-24 13:50:00,1999-04-25 00:00:00,3700,100,NW90b,,,04/24,13:31,,360,1495,True,,,,
36,1999-05-27 10:55:00,1999-05-28 10:00:00,14000,70,W90b,,,05/27,11:06,,360,1691,True,,,,
37,1999-06-01 18:50:00,1999-06-02 09:00:00,14000,400,NW90b,,,06/01,19:37,,360,1772,True,,,,
41,1999-06-23 05:50:00,1999-06-23 07:10:00,12000,2000,BACK,,,06/23,06:06,264,154,450,False,,,,
48,1999-09-10 07:30:00,1999-09-10 07:35:00,5500,2000,NW90b,,,09/10,07:54,18,125,1467,False,,,,
50,1999-10-17 23:27:00,1999-10-17 23:33:00,11500,10000,N03E38,,,10/18,00:06,40,87,247,False,,,,
69,2000-05-07 21:15:00,2000-05-08 00:00:00,14000,500,W90b,,,05/07,20:50,,360,1781,True,,,,
70,2000-05-12 23:34:00,2000-05-12 23:42:00,14000,7000,E90b,,,05/12,23:26,,360,2604,True,,,,
84,2000-08-11 11:35:00,2000-08-11 11:59:00,2800,2000,NW90b,,,08/11,07:31,273,70,1071,False,,,,
86,2000-09-12 18:15:00,2000-09-12 19:00:00,2000,1000,NE90b,,,09/12,17:30,,360,1053,True,,,,
103,2000-11-25 19:55:00,2000-11-25 20:25:00,13000,4000,N20W27,9236,,11/25,21:30,345,59,388,False,,,,
105,2000-12-28 12:40:00,2000-12-28 13:38:00,14000,1900,Back,,,12/28,12:06,,360,930,True,,,,
112,2001-03-12 05:35:00,2001-03-12 05:45:00,3000,1500,BACK,,,03/12,05:50,233,48,829,False,,,,
129,2001-05-07 12:00:00,2001-05-07 13:50:00,2000,280,NW90b,,,05/07,12:06,286,205,1223,False,,,,
131,2001-05-30 00:25:00,2001-05-30 01:38:00,14000,1000,E90b,9481,,05/30,00:06,70,216,2087,False,,,,
133,2001-06-15 16:05:00,2001-06-15 16:20:00,14000,3500,W90b,,,06/15,15:56,,360,1701,True,,,,
134,2001-08-16 00:10:00,2001-08-16 16:10:00,5400,150,Back,,,08/15,23:54,,360,1575,True,,,,
145,2001-10-05 11:35:00,2001-10-05 12:55:00,1400,500,SW90b,,,10/05,10:30,,360,1537,True,,,,
147,2001-10-09 11:20:00,2001-10-09 11:55:00,14000,2000,S28E08,9653,,,,,,,False,,,,
148,2001-10-09 13:10:00,2001-10-09 23:00:00,5000,50,BACK,,,,,,,,False,,,,
157,2001-12-11 12:45:00,2001-12-11 17:00:00,4500,750,SW90b,,,12/11,09:54,263,121,891,False,,,,
158,2001-12-25 11:25:00,2001-12-25 12:40:00,14000,1000,SE90b,,,12/25,11:30,,360,1773,True,,,,
161,2001-12-29 20:45:00,2001-12-29 21:05:00,3000,1500,BACK,,,12/29,20:30,297,211,819,False,,,,
162,2002-01-08 18:30:00,2002-01-10 00:00:00,14000,90,NE90b,,,01/08,17:54,,360,1794,True,,,,
164,2002-01-27 12:49:00,2002-01-27 13:25:00,14000,3000,Back?,,,01/27,12:30,,360,1136,True,,,,
165,2002-02-01 19:23:00,2002-02-01 19:31:00,14000,11000,BACK,,,02/01,19:54,350,89,448,False,,,,
180,2002-04-30 22:30:00,2002-04-30 23:20:00,2000,500,W90b,,,04/30,23:26,254,199,1103,False,,,,
181,2002-05-02 23:50:00,2002-05-03 00:10:00,2800,900,E90b,9937,,05/02,23:18,119,99,902,False,,,,
186,2002-07-09 19:46:00,2002-07-09 20:40:00,1000,650,W90b,,,07/09,19:31,,360,1076,True,,,,
191,2002-07-19 16:40:00,2002-07-19 17:10:00,5000,1000,S15E90,,,07/19,16:30,,360,2047,True,,,,
195,2002-07-29 12:10:00,2002-07-29 12:45:00,4200,1300,N10W15,FILA,,07/29,12:07,13,236,562,False,,,,
208,2002-10-27 23:06:00,2002-10-28 01:20:00,14000,300,SE90b,,,10/27,23:18,,360,2115,True,,,,
212,2002-11-24 20:05:00,2002-11-24 20:45:00,14000,7000,N20E35,,,11/24,20:30,,360,1077,True,,,,
218,2003-03-18 13:55:00,2003-03-18 14:10:00,14000,7000,S90b,,,03/18,13:54,,360,1042,True,,,,
219,2003-03-19 02:30:00,2003-03-19 03:15:00,14000,6000,SW90b,,,03/19,02:30,,360,1342,True,,,,
220,2003-04-22 07:25:00,2003-04-22 08:22:00,3500,700,NE90b,,,04/22,07:36,87,171,918,False,,,,
225,2003-06-05 00:00:00,2003-06-05 00:00:00,????,????,W90b,,,06/05,20:06,230,239,1458,False,,,,
230,2003-10-21 04:10:00,2003-10-21 04:55:00,5000,1000,SE90b,,,10/21,03:54,,360,1484,True,,,,
236,2003-11-02 09:23:00,2003-11-02 11:22:00,14000,550,SW90b,,,11/02,09:30,,360,2036,True,,,,
241,2003-11-09 00:00:00,2003-11-09 00:00:00,????,????,E90b,,,11/09,06:30,,360,2008,True,,,,
242,2003-11-11 00:00:00,2003-11-11 00:00:00,????,????,W90b,,,11/11,02:30,,360,1359,True,,,,
256,2004-06-02 23:13:00,2004-06-02 23:55:00,14000,2100,W90b,,,06/02,23:15,287,136,1102,False,,,,
257,2004-06-03 16:48:00,2004-06-03 17:10:00,12000,5000,W90b,,,06/03,16:50,303,179,1226,False,,,,
258,2004-06-04 07:50:00,2004-06-04 09:55:00,14000,2500,W90b,,,06/04,07:50,309,273,1306,False,,,,
