,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,width_lower_bound
118,2001-04-03 03:40:00,2001-04-03 07:25:00,14000,400,S21E83,9415,1.2,04/03,03:26,108,292,1613,False,False
14,1998-04-23 06:00:00,1998-04-23 15:30:00,14000,200,S17E90,8210,1.2,04/23,05:55,,360,1691,True,False
300,2005-07-14 11:00:00,2005-07-14 12:54:00,3000,800,N11W90,10786,1.2,07/14,10:54,,360,2115,True,False
223,2003-05-29 01:10:00,2003-05-29 08:00:00,13000,200,S06W37,10365,1.2,05/29,01:27,,360,1237,True,False
231,2003-10-26 07:00:00,2003-10-26 09:15:00,8000,1500,S15E44,10486,1.2,10/26,06:54,108,207,1371,False,True
388,2012-07-06 23:10:00,2012-07-07 03:40:00,16000,300,S13W59,11515,1.1,07/06,23:24,,360,1828,True,False
374,2012-03-05 04:00:00,2012-03-05 12:20:00,16000,400,N17E52,11429,1.1,03/05,04:00,,360,1531,True,False
46,1999-08-28 18:25:00,1999-08-28 18:33:00,16000,12000,S26W14,8674,1.1,08/28,18:26,120,245,462,False,False
116,2001-04-02 11:30:00,2001-04-02 12:00:00,14000,5000,N20W70,9393,1.1,04/02,11:26,270,80,992,False,False
18,1998-05-02 14:25:00,1998-05-02 14:50:00,5000,3000,S15W15,8210,1.1,05/02,14:06,,360,938,True,False
153,2001-11-04 16:30:00,2001-11-06 11:00:00,14000,70,N06W18,9684,1.0,11/04,16:35,,360,1810,True,False
428,2013-11-19 10:39:00,2013-11-19 20:20:00,14000,100,S14W70,11893,1.0,11/19,10:36,,360,740,True,False
196,2002-08-03 19:20:00,2002-08-03 20:30:00,14000,2000,S16W76,10039,1.0,08/03,19:31,259,138,1150,False,False
80,2000-07-11 13:00:00,2000-07-11 13:30:00,12000,1000,N18E27,9077,1.0,07/11,13:27,,360,1078,True,False
16,1998-04-27 09:20:00,1998-04-27 10:00:00,10000,1000,S16E50,8210,1.0,04/27,08:56,,360,1385,True,False
